patch_id,r,c,x,y,canopy_frac,temp_mean,y_prob,pred_stress,is_canopy,pred_display,threshold,mode
grid_0_0,0,0,0,0,0.80810546875,26.13640594482422,0.15491095185279846,0,True,0,0.4,rgb_only
grid_0_1,0,1,128,0,0.8009033203125,26.159997940063477,0.11141826212406158,0,True,0,0.4,rgb_only
grid_0_2,0,2,256,0,0.76287841796875,25.86333656311035,0.09179957211017609,0,True,0,0.4,rgb_only
grid_0_3,0,3,384,0,0.7861328125,25.886316299438477,0.12158738076686859,0,True,0,0.4,rgb_only
grid_0_4,0,4,512,0,0.82464599609375,25.88652992248535,0.05427937209606171,0,True,0,0.4,rgb_only
grid_1_0,1,0,0,128,0.6732177734375,25.944665908813477,0.029037153348326683,0,True,0,0.4,rgb_only
grid_1_1,1,1,128,128,0.69171142578125,26.009063720703125,0.07848543673753738,0,True,0,0.4,rgb_only
grid_1_2,1,2,256,128,0.6893310546875,26.10637664794922,0.10954650491476059,0,True,0,0.4,rgb_only
grid_1_3,1,3,384,128,0.70111083984375,26.13562774658203,0.1252993941307068,0,True,0,0.4,rgb_only
grid_1_4,1,4,512,128,0.714599609375,25.943225860595703,0.49811461567878723,1,True,1,0.4,rgb_only
grid_2_0,2,0,0,256,0.75067138671875,25.9547061920166,0.12935662269592285,0,True,0,0.4,rgb_only
grid_2_1,2,1,128,256,0.71673583984375,25.979991912841797,0.06300221383571625,0,True,0,0.4,rgb_only
grid_2_2,2,2,256,256,0.64910888671875,25.905120849609375,0.0993463546037674,0,True,0,0.4,rgb_only
grid_2_3,2,3,384,256,0.63525390625,25.93512535095215,0.2493816465139389,0,True,0,0.4,rgb_only
grid_2_4,2,4,512,256,0.71282958984375,25.946935653686523,0.06301675736904144,0,True,0,0.4,rgb_only
grid_3_0,3,0,0,384,0.78912353515625,25.676965713500977,0.04722072184085846,0,True,0,0.4,rgb_only
grid_3_1,3,1,128,384,0.7445068359375,25.921173095703125,0.13764385879039764,0,True,0,0.4,rgb_only
grid_3_2,3,2,256,384,0.68701171875,25.720508575439453,0.06848323345184326,0,True,0,0.4,rgb_only
grid_3_3,3,3,384,384,0.6654052734375,25.664813995361328,0.06472329050302505,0,True,0,0.4,rgb_only
grid_3_4,3,4,512,384,0.66326904296875,25.5540714263916,0.1442561000585556,0,True,0,0.4,rgb_only
